code,name,metric,sex,age,in,out,net,abs
02000,青森県,both_0_9,総数,0-9歳,5,20,-15,15
02000,青森県,both_10_19,総数,10-19歳,5,5,0,0
02000,青森県,both_20_29,総数,20-29歳,23,30,-7,7
02000,青森県,both_30_39,総数,30-39歳,15,26,-11,11
02000,青森県,both_40_49,総数,40-49歳,14,23,-9,9
02000,青森県,both_50_59,総数,50-59歳,6,3,3,3
02000,青森県,both_60_plus,総数,60歳以上,4,2,2,2
02000,青森県,both_unknown,総数,不詳/その他,0,0,0,0
02000,青森県,male_total,男,総数,45,75,-30,30
02000,青森県,male_0_9,男,0-9歳,3,12,-9,9
02000,青森県,male_10_19,男,10-19歳,1,5,-4,4
02000,青森県,male_20_29,男,20-29歳,15,21,-6,6
02000,青森県,male_30_39,男,30-39歳,8,16,-8,8
02000,青森県,male_40_49,男,40-49歳,11,19,-8,8
02000,青森県,male_50_59,男,50-59歳,4,1,3,3
02000,青森県,male_60_plus,男,60歳以上,3,1,2,2
02000,青森県,male_unknown,男,不詳/その他,0,0,0,0
02000,青森県,female_total,女,総数,27,34,-7,7
02000,青森県,female_0_9,女,0-9歳,2,8,-6,6
02000,青森県,female_10_19,女,10-19歳,4,0,4,4
02000,青森県,female_20_29,女,20-29歳,8,9,-1,1
02000,青森県,female_30_39,女,30-39歳,7,10,-3,3
02000,青森県,female_40_49,女,40-49歳,3,4,-1,1
02000,青森県,female_50_59,女,50-59歳,2,2,0,0
02000,青森県,female_60_plus,女,60歳以上,1,1,0,0
02000,青森県,female_unknown,女,不詳/その他,0,0,0,0
35000,山口県,both_total,総数,総数,49,12,37,37
35000,山口県,both_0_9,総数,0-9歳,0,0,0,0
35000,山口県,both_10_19,総数,10-19歳,21,3,18,18
35000,山口県,both_20_29,総数,20-29歳,20,8,12,12
35000,山口県,both_30_39,総数,30-39歳,4,0,4,4
35000,山口県,both_40_49,総数,40-49歳,2,0,2,2
35000,山口県,both_50_59,総数,50-59歳,2,1,1,1
35000,山口県,both_60_plus,総数,60歳以上,0,0,0,0
35000,山口県,both_unknown,総数,不詳/その他,0,0,0,0
35000,山口県,male_total,男,総数,22,6,16,16
35000,山口県,male_0_9,男,0-9歳,0,0,0,0
35000,山口県,male_10_19,男,10-19歳,6,2,4,4
35000,山口県,male_20_29,男,20-29歳,11,4,7,7
35000,山口県,male_30_39,男,30-39歳,2,0,2,2
35000,山口県,male_40_49,男,40-49歳,2,0,2,2
35000,山口県,male_50_59,男,50-59歳,1,0,1,1
35000,山口県,male_60_plus,男,60歳以上,0,0,0,0
35000,山口県,male_unknown,男,不詳/その他,0,0,0,0
35000,山口県,female_total,女,総数,27,6,21,21
35000,山口県,female_0_9,女,0-9歳,0,0,0,0
35000,山口県,female_10_19,女,10-19歳,15,1,14,14
35000,山口県,female_20_29,女,20-29歳,9,4,5,5
35000,山口県,female_30_39,女,30-39歳,2,0,2,2
35000,山口県,female_40_49,女,40-49歳,0,0,0,0
35000,山口県,female_50_59,女,50-59歳,1,1,0,0
35000,山口県,female_60_plus,女,60歳以上,0,0,0,0
35000,山口県,female_unknown,女,不詳/その他,0,0,0,0
01423,南幌町,both_total,総数,総数,0,34,-34,34
01423,南幌町,both_0_9,総数,0-9歳,0,8,-8,8
01423,南幌町,both_10_19,総数,10-19歳,0,2,-2,2
01423,南幌町,both_20_29,総数,20-29歳,0,6,-6,6
01423,南幌町,both_30_39,総数,30-39歳,0,15,-15,15
01423,南幌町,both_40_49,総数,40-49歳,0,2,-2,2
01423,南幌町,both_50_59,総数,50-59歳,0,1,-1,1
01423,南幌町,both_60_plus,総数,60歳以上,0,0,0,0
01423,南幌町,both_unknown,総数,不詳/その他,0,0,0,0
01423,南幌町,male_total,男,総数,0,15,-15,15
01423,南幌町,male_0_9,男,0-9歳,0,2,-2,2
01423,南幌町,male_10_19,男,10-19歳,0,1,-1,1
01423,南幌町,male_20_29,男,20-29歳,0,2,-2,2
01423,南幌町,male_30_39,男,30-39歳,0,8,-8,8
01423,南幌町,male_40_49,男,40-49歳,0,1,-1,1
01423,南幌町,male_50_59,男,50-59歳,0,1,-1,1
01423,南幌町,male_60_plus,男,60歳以上,0,0,0,0
01423,南幌町,male_unknown,男,不詳/その他,0,0,0,0
01423,南幌町,female_total,女,総数,0,19,-19,19
01423,南幌町,female_0_9,女,0-9歳,0,6,-6,6
01423,南幌町,female_10_19,女,10-19歳,0,1,-1,1
01423,南幌町,female_20_29,女,20-29歳,0,4,-4,4
01423,南幌町,female_30_39,女,30-39歳,0,7,-7,7
01423,南幌町,female_40_49,女,40-49歳,0,1,-1,1
01423,南幌町,female_50_59,女,50-59歳,0,0,0,0
01423,南幌町,female_60_plus,女,60歳以上,0,0,0,0
01423,南幌町,female_unknown,女,不詳/その他,0,0,0,0
01202,函館市,both_total,総数,総数,62,90,-28,28
01202,函館市,both_0_9,総数,0-9歳,1,4,-3,3
01202,函館市,both_10_19,総数,10-19歳,6,8,-2,2
01202,函館市,both_20_29,総数,20-29歳,22,37,-15,15
01202,函館市,both_30_39,総数,30-39歳,12,19,-7,7
01202,函館市,both_40_49,総数,40-49歳,6,7,-1,1
01202,函館市,both_50_59,総数,50-59歳,8,8,0,0
01202,函館市,both_60_plus,総数,60歳以上,7,7,0,0
01202,函館市,both_unknown,総数,不詳/その他,0,0,0,0
01202,函館市,male_total,男,総数,34,42,-8,8
01202,函館市,male_0_9,男,0-9歳,1,0,1,1
01202,函館市,male_10_19,男,10-19歳,5,4,1,1
01202,函館市,male_20_29,男,20-29歳,9,16,-7,7
01202,函館市,male_30_39,男,30-39歳,9,12,-3,3
01202,函館市,male_40_49,男,40-49歳,2,4,-2,2
01202,函館市,male_50_59,男,50-59歳,5,4,1,1
01202,函館市,male_60_plus,男,60歳以上,3,2,1,1
01202,函館市,male_unknown,男,不詳/その他,0,0,0,0
01202,函館市,female_total,女,総数,28,48,-20,20
01202,函館市,female_0_9,女,0-9歳,0,4,-4,4
01202,函館市,female_10_19,女,10-19歳,1,4,-3,3
01202,函館市,female_20_29,女,20-29歳,13,21,-8,8
01202,函館市,female_30_39,女,30-39歳,3,7,-4,4
01202,函館市,female_40_49,女,40-49歳,4,3,1,1
01202,函館市,female_50_59,女,50-59歳,3,4,-1,1
01202,函館市,female_60_plus,女,60歳以上,4,5,-1,1
01202,函館市,female_unknown,女,不詳/その他,0,0,0,0
43000,熊本県,both_total,総数,総数,55,27,28,28
43000,熊本県,both_0_9,総数,0-9歳,4,4,0,0
43000,熊本県,both_10_19,総数,10-19歳,5,0,5,5
43000,熊本県,both_20_29,総数,20-29歳,18,8,10,10
43000,熊本県,both_30_39,総数,30-39歳,14,7,7,7
43000,熊本県,both_40_49,総数,40-49歳,9,4,5,5
43000,熊本県,both_50_59,総数,50-59歳,4,3,1,1
43000,熊本県,both_60_plus,総数,60歳以上,1,1,0,0
43000,熊本県,both_unknown,総数,不詳/その他,0,0,0,0
43000,熊本県,male_total,男,総数,33,20,13,13
43000,熊本県,male_0_9,男,0-9歳,1,3,-2,2
43000,熊本県,male_10_19,男,10-19歳,1,0,1,1
43000,熊本県,male_20_29,男,20-29歳,10,5,5,5
43000,熊本県,male_30_39,男,30-39歳,9,5,4,4
43000,熊本県,male_40_49,男,40-49歳,9,3,6,6
43000,熊本県,male_50_59,男,50-59歳,3,3,0,0
43000,熊本県,male_60_plus,男,60歳以上,0,1,-1,1
43000,熊本県,male_unknown,男,不詳/その他,0,0,0,0
43000,熊本県,female_total,女,総数,22,7,15,15
43000,熊本県,female_0_9,女,0-9歳,3,1,2,2
43000,熊本県,female_10_19,女,10-19歳,4,0,4,4
43000,熊本県,female_20_29,女,20-29歳,8,3,5,5
43000,熊本県,female_30_39,女,30-39歳,5,2,3,3
43000,熊本県,female_40_49,女,40-49歳,0,1,-1,1
43000,熊本県,female_50_59,女,50-59歳,1,0,1,1
43000,熊本県,female_60_plus,女,60歳以上,1,0,1,1
43000,熊本県,female_unknown,女,不詳/その他,0,0,0,0
14000,神奈川県,both_total,総数,総数,229,202,27,27
14000,神奈川県,both_0_9,総数,0-9歳,13,21,-8,8
14000,神奈川県,both_10_19,総数,10-19歳,66,10,56,56
14000,神奈川県,both_20_29,総数,20-29歳,56,97,-41,41
14000,神奈川県,both_30_39,総数,30-39歳,27,34,-7,7
14000,神奈川県,both_40_49,総数,40-49歳,25,19,6,6
14000,神奈川県,both_50_59,総数,50-59歳,30,12,18,18
14000,神奈川県,both_60_plus,総数,60歳以上,12,9,3,3
14000,神奈川県,both_unknown,総数,不詳/その他,0,0,0,0
14000,神奈川県,male_total,男,総数,173,125,48,48
14000,神奈川県,male_0_9,男,0-9歳,11,13,-2,2
14000,神奈川県,male_10_19,男,10-19歳,64,6,58,58
14000,神奈川県,male_20_29,男,20-29歳,33,62,-29,29
14000,神奈川県,male_30_39,男,30-39歳,14,19,-5,5
14000,神奈川県,male_40_49,男,40-49歳,17,12,5,5
14000,神奈川県,male_50_59,男,50-59歳,23,8,15,15
14000,神奈川県,male_60_plus,男,60歳以上,11,5,6,6
14000,神奈川県,male_unknown,男,不詳/その他,0,0,0,0
14000,神奈川県,female_total,女,総数,56,77,-21,21
14000,神奈川県,female_0_9,女,0-9歳,2,8,-6,6
14000,神奈川県,female_10_19,女,10-19歳,2,4,-2,2
14000,神奈川県,female_20_29,女,20-29歳,23,35,-12,12
14000,神奈川県,female_30_39,女,30-39歳,13,15,-2,2
14000,神奈川県,female_40_49,女,40-49歳,8,7,1,1
14000,神奈川県,female_50_59,女,50-59歳,7,4,3,3
14000,神奈川県,female_60_plus,女,60歳以上,1,4,-3,3
14000,神奈川県,female_unknown,女,不詳/その他,0,0,0,0
01204,旭川市,both_total,総数,総数,118,93,25,25
01204,旭川市,both_0_9,総数,0-9歳,2,3,-1,1
01204,旭川市,both_10_19,総数,10-19歳,33,25,8,8
01204,旭川市,both_20_29,総数,20-29歳,53,37,16,16
01204,旭川市,both_30_39,総数,30-39歳,8,13,-5,5
01204,旭川市,both_40_49,総数,40-49歳,11,8,3,3
01204,旭川市,both_50_59,総数,50-59歳,5,2,3,3
01204,旭川市,both_60_plus,総数,60歳以上,6,5,1,1
01204,旭川市,both_unknown,総数,不詳/その他,0,0,0,0
01204,旭川市,male_total,男,総数,65,54,11,11
01204,旭川市,male_0_9,男,0-9歳,1,2,-1,1
